aprtfEtryptDt,total,MB,MK,MS
2021121008,9988,5189.943364039577,1739.0683498237233,3058.9882861366996
2021121003,9618,4997.684749232344,1674.645513476629,2945.6697372910266
2021121014,654,339.8300921187308,113.87171613783691,200.29819174343226
2021121006,75590,39277.91538723985,13161.411349937449,23150.6732628227
2021121013,356,184.98396451722962,61.98521551233936,109.03081997043101
2021121006,424,220.3179802115319,73.82508813829182,129.85693165017628
2021121015,1848,960.2538382804504,321.76595018764925,565.9802115319003
2021121011,2440,1267.8676219720232,424.84248834300007,747.2898896849766
2021121004,4771,2479.0968952575913,830.706357329694,1461.1967474127146
2021121007,8076,4196.433981576254,1406.158990105766,2473.40702831798
2021121010,3994,2075.353804162402,695.418401000796,1223.2277948368019
2021121016,1130,587.1682019788468,196.75082451950414,346.080973501649
2021121015,40030,20800.303650631184,6969.854429659957,12259.841919708859
2021121003,36177,18798.215967246673,6298.986352780621,11079.797679972706
2021121004,30259,15723.11736608666,5268.569202774935,9267.313431138406
2021121009,5530,2873.4868645513475,962.8602297281928,1693.6529057204593
2021121003,9946,5168.1194131695665,1731.7554873194586,3046.1250995109745
